"Device ID","Device name","Manufacturer","Serial number"
"45801466-7153-48d5-9da9-eb1c12addeef","Isomo-Dell-BQBRK63","Dell Inc.","BQBRK63"
"43bed84f-41f4-4f28-8d2b-43c422b2ad06","ISOMO-HP-009","HP","5CG8522LVZ"
"6e7acd2a-8d12-4661-8fe4-f65c7bcfcbd5","Isomo-Dell-6P88043","Dell Inc.","6P88043"
"c0d0b384-6f74-4249-b585-4a1bab6c6667","Isomo-Dell-4TGDQ73","Dell Inc.","4TGDQ73"
"b5fc3073-973d-436e-a63a-2a0120cca384","Isomo-Dell-83ZDFB3","Dell Inc.","83ZDFB3"
"6668dfe7-cbd4-40ca-b4e6-e95e19c99a09","Isomo-Dell-7V8DM53","Dell Inc.","7V8DM53"
"91b4e8d7-ad8f-4a42-8ffd-98413f7e5eb0","Isomo-Dell-5PVW7C3","Dell Inc.","5PVW7C3"
"ed179d0c-3984-4852-9b3d-bd2de036bb12","Isomo-Dell-7V16273","Dell Inc.","7V16273"
"1bd46b47-8afb-4cc8-8b17-73969dc67c29","Isomo-Dell-BZJ3673","Dell Inc.","BZJ3673"
"81c98311-5647-41f7-a16e-9bb80d79df17","Isomo-Dell-J2W5FB3","Dell Inc.","J2W5FB3"
"42a93463-9e64-4215-a41a-dc78d1137f79","Isomo-Dell-16MGP73","Dell Inc.","16MGP73"
"d50d6abc-0a1a-4e2f-b6da-75fef13cf730","Isomo-Dell-J0X3273","Dell Inc.","J0X3273"
"f9d97953-8727-47ef-b790-45df14603075","DESKTOP-6O86VQ0","HP","5CG0134392"
"8fe4277c-9d5d-4d28-9d51-128a7964b3bb","Isomo-Dell-DP7BDB3","Dell Inc.","DP7BDB3"
"76dbfec5-97d5-4f94-a831-7ee9d74b7abd","Isomo-Dell-GBY0N53","Dell Inc.","GBY0N53"
"ca6259b1-4615-498b-a017-8c303c930740","Isomo-HP-5CG9432MYM","HP","5CG9432MYM"
"cc05b55e-c622-43f1-9714-57806106c60e","Isomo-Dell-8N1P473","Dell Inc.","8N1P473"
"644f260f-c5d8-4d88-9275-70c87ed240a3","ISOMO-HP-011","HP","5CG75219CF"
"68f45c39-5fbf-4846-9185-849182d7103a","Isomo-Dell-JWP1893","Dell Inc.","JWP1893"
"8e808399-ff14-4d3e-8cb6-ca522e742979","Isomo-Dell-8CFP373","Dell Inc.","8CFP373"
"64808d19-cde0-4cad-ad54-a119c04690d6","Isomo-Dell-HLTY7C3","Dell Inc.","HLTY7C3"
"51928723-dfe9-461f-a6ae-bd501e853ca9","Isomo-Dell-D7LQ373","Dell Inc.","D7LQ373"
"938799b0-8de1-4d8b-ad1d-4244e3e4bbc1","Isomo-Dell-72PW7C3","Dell Inc.","72PW7C3"
"be8a51a8-379c-4586-a2d2-a75a5544cf7c","Isomo-Dell-FMF6N53","Dell Inc.","FMF6N53"
"e63b2b46-d152-4330-a88a-9e14f4ab7bde","Isomo-HP-006","HP","5CG9150L5H"
"cb6f84eb-2ce3-4807-adfb-1eb2237cbed5","Isomo-Dell-6Z95FB3","Dell Inc.","6Z95FB3"
"3e9852d7-6440-49d6-9ff9-d83338ed7972","Isomo-Dell-5ZR4673","Dell Inc.","5ZR4673"
"844623c8-473e-4c18-bcda-eb3b7c9ed6ee","Isomo-5CG84977Z0","HP","5CG84977Z0"
"45e02392-357f-4d99-819a-0b54f734bc65","Isomo-Dell-7JJ0ZD3","Dell Inc.","7JJ0ZD3"
"70d86861-50d2-4fc7-8a3e-a2c3c713f5fe","Isomo-Dell-FLW0ZD3","Dell Inc.","FLW0ZD3"
"e74c8ecb-151d-494c-bf9e-ee5d8dc086fc","Isomo-Dell-B38R693","Dell Inc.","B38R693"
"76a12476-04c2-4d3b-a6ff-aa7a32af8da4","Isomo-Dell-FLKN273","Dell Inc.","FLKN273"
"d54d7bb3-ad43-4c4d-81c8-fd77eb530bef","Isomo-Dell-JG52673","Dell Inc.","JG52673"
"c0eb7362-265f-4456-8188-a07ddde18fb2","Isomo-Dell-F752673","Dell Inc.","F752673"
"97206470-eeae-4efc-86c8-bc5ce0fb8062","Isomo-Dell-J12D063","Dell Inc.","J12D063"
"28b753cc-798b-4fd4-8c37-a81121dfdcd0","ISOMO-9PFGP73","Dell Inc.","9PFGP73"
"b6499a84-2cb7-40a5-a86f-9ec2d86b4b6e","Isomo-Dell-94RN273","Dell Inc.","94RN273"
"fbc6ea52-f697-4acf-834d-a89a0cab81af","Isomo-Dell-HKH2673","Dell Inc.","HKH2673"
"11e9dfb1-627c-46c2-aeb8-c8c56cd72fa7","Isomo-Dell-1VPC063","Dell Inc.","1VPC063"
"e2498e16-f695-4e6b-876b-72680e06e179","Isomo-Dell-2TDQ373","Dell Inc.","2TDQ373"
"318c9177-0530-4df2-bfd0-d2650496fac4","Isomo-Dell-H3PT0F3","Dell Inc.","H3PT0F3"
"5388256d-757c-4a40-b1c1-f8d976d54546","Isomo-Dell-2MB4673","Dell Inc.","2MB4673"
"9e7185a3-b139-4e6c-a885-02b59fe40d25","Isomo-Dell-1MHXN53","Dell Inc.","1MHXN53"
"29b920ee-ad6e-454e-b330-ab7ac4f33973","Isomo-Dell-9RD1673","Dell Inc.","9RD1673"
"d173cd90-c3b4-4aa3-af8a-00b1080e5809","Isomo-Dell-F75D473","Dell Inc.","F75D473"
"be008f60-d882-42f0-bf00-e002f2da6ea5","DESKTOP-UH1R0S1","HP","5CG8335ZXP"
"467f8327-f779-469e-9b86-c36d0727c99b","Isomo-Dell-F28G6D3","Dell Inc.","F28G6D3"
"9a26b340-bb6a-4ce1-90d1-25a5601c7e82","ISOMO-HP-016","HP","5CG82932DV"
"84e37908-0edd-46d8-bbdc-a28afe1a49a6","Isomo-Dell-DPK2673","Dell Inc.","DPK2673"
"02ae4a88-a51b-48f1-b6ff-e5f649473dac","Isomo-Dell-BS1P473","Dell Inc.","BS1P473"
"ece2e69c-8af1-49ef-a3b8-f6f5ea73521a","Isomo-Dell-4CKN273","Dell Inc.","4CKN273"
"d51386f5-8509-4b0c-b06c-b232c6ee6528","Isomo-Dell-J0MP373","Dell Inc.","J0MP373"
"4934531c-3642-4344-8158-32409f0605e8","Isomo-Dell-9KJP693","Dell Inc.","9KJP693"
"83230d6f-48e1-4ec1-8c94-455ffaa8fa75","DESKTOP-23NDN21","HP","5CG0173BWN"
"aecf587b-c2f2-4567-b897-1f6420d06db9","Isomo-Dell-FVN1P73","Dell Inc.","FVN1P73"
"521b4138-5c8e-4650-bffe-4fdb5014cb80","Isomo-Dell-37S5M33","Dell Inc.","37S5M33"
"563eee57-5f6d-4146-8a84-4433b859906e","Isomo-Dell-3SP4ZD3","Dell Inc.","3SP4ZD3"
"e1f7543a-3fe0-4881-9116-666eb90151bb","Isomo-Dell-C9HJN53","Dell Inc.","C9HJN53"
"9d0f31ab-b890-494c-8980-1f0cee165c9f","ISOMO-HP-015","HP","5CG84787XT"
"67283533-e833-4c67-8d95-1b97e3160abf","Isomo-Dell-G1Y6043","Dell Inc.","G1Y6043"
"569e2ad6-c8e3-4842-b04f-8abc311d39be","Isomo-Dell-2YH06D3","Dell Inc.","2YH06D3"
"f2d70c63-0336-4861-9f7c-8b5c10300670","Isomo-HP-5CG0270FVQ","HP","5CG0270FVQ"
"49239ff0-710e-40dd-ba65-f9a27808c090","ISOMO-2YQ8DB3","Dell Inc.","2YQ8DB3"
"754d76bf-1676-44cd-8b9e-db58045f2018","Isomo-Dell-5PF6N53","Dell Inc.","5PF6N53"
"f76dba3e-8ef8-4b21-a2e8-681a12a1e62b","Isomo-Dell-30PH693","Dell Inc.","30PH693"
"02bdbaf9-1928-45a7-ae20-137656186a61","Isomo-HP-5CG0270HCG","HP","5CG0270HCG"
"da57780e-9ee0-45b1-8ca6-372107291289","Isomo-Dell-BVD83D3","Dell Inc.","BVD83D3"
"86e8d477-9cc1-41a9-8b8b-27ccad8b3544","Isomo-Dell-9H7P373","Dell Inc.","9H7P373"
"f3bc50bc-1b43-4ffe-b79c-0f2fc1e8e83b","Isomo-Dell-FJY1673","Dell Inc.","FJY1673"
"614caef8-4e9c-4cca-bfe8-816684d9f734","Isomo-Dell-6D18N53","Dell Inc.","6D18N53"
"b793085f-d0e1-4e32-9fee-210912f6c5fd","Isomo-Dell-9FDFN73","Dell Inc.","9FDFN73"
"d931ff2f-e02b-445e-9c20-5b5b41ea0e94","Isomo-Dell-GSXZM53","Dell Inc.","GSXZM53"
"97d7e9b8-f06f-4310-9495-05a4fc735ec8","Advikel","HP","5CG9510P2X"
"d5f8eb75-bf38-467b-81c9-4088379d5d25","Isomo-Dell-G9PN473","Dell Inc.","G9PN473"
"82c02fe7-f95d-4313-a06e-a0f95e005ec7","Isomo-Dell-5CG01344KY","HP","5CG01344KY"
"dfa9e5f5-6ef5-4944-947b-44cd6d70cf88","Isomo-Dell-6YNP373","Dell Inc.","6YNP373"
"5c283d78-63ea-4afa-a6b5-47436e5720da","Isomo-Dell-C6FP373","Dell Inc.","C6FP373"
"6958d8c0-9784-4f78-8915-a237751da584","Isomo-Dell-69PN473","Dell Inc.","69PN473"
"e3935041-5eb4-44a6-9f32-a322d5955a6c","Isomo-Dell-CKSVP73","Dell Inc.","CKSVP73"
"63a991b9-f16c-48df-aaea-160f4482df99","Isomo-Dell-BH507D3","Dell Inc.","BH507D3"
"dbe3576b-875a-4d93-a9c2-0a99b520eaed","ISOMO-HP-002","HP","5CG013CVDH"
"6a4de9cf-2cae-4793-ace5-3e588865ff95","Isomo-Dell-DKSR353","Dell Inc.","DKSR353"
"f087a75f-9eb3-4b69-a8ad-42ae428ffa51","Isomo-Dell-CC80P53","Dell Inc.","CC80P53"
"3541e26c-5b97-4461-9f51-23294a8e8f78","Isomo-Dell-5CG013423L","HP","5CG013423L"
"d582c7fe-51ed-4ef2-81ea-9ca6fa39a80f","DESKTOP-23NDN21","HP","5CG016B78P"
"ec29e979-3cdd-4edc-9daa-876714cd614b","Isomo-Dell-F19BQ73","Dell Inc.","F19BQ73"
"d05a9151-2801-4321-a8eb-d3feb6b1a2c0","PC","HP","5CG8335RJ7"
"84f9d63e-40e4-4172-a072-250c87ccbf4c","Isomo-Dell-8782FB3","Dell Inc.","8782FB3"
"5ae34693-c394-48f9-b04d-b34575b0a9ab","Isomo-Dell-5CG9014FLG","HP","5CG9014FLG"
"0dc84922-4bb9-4185-926d-c71afa3d6f89","Isomo-Dell-GVDM693","Dell Inc.","GVDM693"
"a116e648-dff2-492e-bdd2-e44ab8cdda95","Isomo-Dell-HJDQ373","Dell Inc.","HJDQ373"
"bbe85085-ccf8-479b-9b58-3297339ad7d7","Isomo-Dell-DPF2FB3","Dell Inc.","DPF2FB3"
"024960f2-e8cb-4975-98b7-d2bf2985cbcf","Isomo-Dell-DRYS353","Dell Inc.","DRYS353"
"772e90ef-f513-496d-a89f-03f33fc1a94f","Isomo-Dell-BTNFQ73","Dell Inc.","BTNFQ73"
"939d31ae-ccba-4f5c-b977-807e2f5d76f5","Isomo-Dell-7V3F6D3","Dell Inc.","7V3F6D3"
"b531dce6-5887-4ab5-aa7c-ccef67ca0e72","Isomo-Dell-FQ1P473","Dell Inc.","FQ1P473"
"83d60029-cd9e-4a0e-a769-0a050bb80547","Isomo-Dell-G0KWN73","Dell Inc.","G0KWN73"
"5d0bed79-9a7f-474e-8cae-f69b160f51cc","DESKTOP-23NDN21","HP","5CG016BGYC"
"2c47848a-864d-40ee-a081-1cc3e23dff08","Isomo-Dell-650F573","Dell Inc.","650F573"
"b744a773-4be0-4f1a-a9ff-c498252c0e0b","Isomo-Dell-GHGP793","Dell Inc.","GHGP793"
"b178e2b4-35d7-43f6-acac-8756c977ade6","Isomo-Dell-9X0X7C3","Dell Inc.","9X0X7C3"
"4cdf6413-b7c9-43fd-a2e1-ff72b94f6d45","Isomo-Dell-BCQ3273","Dell Inc.","BCQ3273"
"a35c1d8d-ae0d-4399-8212-fd013f08f332","Isomo-Dell-1MJ3273","Dell Inc.","1MJ3273"
"c66fedb4-0d77-4ac0-82f1-ac797c35d4e4","Isomo-Dell-D4P5273","Dell Inc.","D4P5273"
"e8ec2307-fc6b-4791-bfcc-816507ea0669","Isomo-Dell-5FVP373","Dell Inc.","5FVP373"
"f202fae2-e20c-4cc4-9c3d-156250a0f391","ISOMO-HP-132","HP","5CG8266533"
"9b9d3abf-3947-4349-b6b7-9e7d52f65230","Isomo-Dell-G48MR73","Dell Inc.","G48MR73"
"49bc1ae3-1ccb-4673-93b8-052c01e57e3e","Isomo-Dell-61V8043","Dell Inc.","61V8043"
"3552f122-aa98-46e3-a3b7-17bacd11231b","2G","HP","5CG0343PWV"
"5a227c61-0576-423c-a07e-640aff3a083c","DESKTOP-I2QAQBR","HP","5CG8383W2C"
